"filename", "language", "Python", "MS SQL", "Markdown", "comment", "blank", "total"
"/Users/chenhongxu/Desktop/codes/fileTidy/file_manager/insert_files.py", "Python", 21, 0, 0, 5, 2, 28
"/Users/chenhongxu/Desktop/codes/fileTidy/file_manager/tools/Hash.py", "Python", 17, 0, 0, 0, 4, 21
"/Users/chenhongxu/Desktop/codes/fileTidy/file_manager/tools/_processManage.py", "Python", 69, 0, 0, 0, 7, 76
"/Users/chenhongxu/Desktop/codes/fileTidy/fuse_start.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/chenhongxu/Desktop/codes/fileTidy/init_setting/Init.sql", "MS SQL", 0, 53, 0, 6, 14, 73
"/Users/chenhongxu/Desktop/codes/fileTidy/init_setting/__init__.py", "Python", 4, 0, 0, 0, 2, 6
"/Users/chenhongxu/Desktop/codes/fileTidy/init_setting/conf.py", "Python", 18, 0, 0, 0, 6, 24
"/Users/chenhongxu/Desktop/codes/fileTidy/init_setting/initSetting.py", "Python", 31, 0, 0, 0, 8, 39
"/Users/chenhongxu/Desktop/codes/fileTidy/readme.md", "Markdown", 0, 0, 13, 0, 12, 25
"/Users/chenhongxu/Desktop/codes/fileTidy/storage_manager/__init__.py", "Python", 4, 0, 0, 0, 3, 7
"/Users/chenhongxu/Desktop/codes/fileTidy/storage_manager/storage.py", "Python", 52, 0, 0, 9, 17, 78
"/Users/chenhongxu/Desktop/codes/fileTidy/storage_manager/storageFactory.py", "Python", 39, 0, 0, 5, 8, 52
"/Users/chenhongxu/Desktop/codes/fileTidy/storage_manager/tools/Windows/DisKOperation.py", "Python", 87, 0, 0, 6, 15, 108
"/Users/chenhongxu/Desktop/codes/fileTidy/test.py", "Python", 2, 0, 0, 0, 1, 3
"/Users/chenhongxu/Desktop/codes/fileTidy/volume_manager/tools/Darwin/get_all_volume.py", "Python", 40, 0, 0, 4, 3, 47
"/Users/chenhongxu/Desktop/codes/fileTidy/volume_manager/tools/Windows/get_all_volume.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/chenhongxu/Desktop/codes/fileTidy/volume_manager/volume.py", "Python", 53, 0, 0, 6, 15, 74
"/Users/chenhongxu/Desktop/codes/fileTidy/volume_manager/volumeFactory.py", "Python", 68, 0, 0, 1, 17, 86
"Total", "-", 505, 53, 13, 42, 136, 749
